Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,ETH,1d,0.038701587590794506,49.59%,"['rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03870574543376949,50.00%,"['volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03870662712390878,51.65%,"['log_ret_vol', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03872312349544284,46.28%,"['volatility', 'rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.038792057200156924,49.17%,"['rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.038842681282116834,49.59%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.038911215787012704,48.76%,"['log_ret_vol', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.03898528465837533,52.48%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03934671450880364,47.93%,"['volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03945129746745179,49.17%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.04031215142471967,48.35%,"['volatility', 'rsi', 'macd', 'log_ret_close']"
