Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,BTC,1d,0.025894207863500874,44.63%,"['volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.025962792363944096,49.59%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.026065445566634964,49.59%,"['log_ret_vol', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.026104126192073807,46.69%,"['rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.026214315707663548,46.69%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.026227597389169355,47.93%,"['volatility', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.026235197281177118,47.11%,"['log_ret_vol', 'volatility', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.026265017758679524,44.63%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.026630104601155585,46.28%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.026649536786143006,52.48%,"['macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02667215659827387,48.76%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02822437407945657,45.04%,"['rsi', 'log_ret_close']"
