date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2020-09-15,377.12,382.47,362.34,364.06,883856.33005,-0.03524474997006877,-0.16465991324857754,0.8768278989894507,46.51652267025896,-2.0910807102341877,0.3561533786891564,33.173217038510906
2020-09-16,364.05,373.45,355.0,365.11,841709.98939,0.0028799888249775307,-0.04885900260228837,0.9009514422932389,46.782049314700686,-1.8578866093354174,0.3709157831204866,32.107067406023305
2020-09-17,365.04,394.14,363.3,389.36,1256300.411,0.06430568748246923,0.40049097490221897,1.3525915669755728,52.631142116490885,-0.033816876816439745,0.5433603434027938,32.01540570253777
2020-09-18,389.35,392.58,375.33,384.39,804194.47219,-0.012846703335604559,-0.44608537839762974,0.849883998007575,51.38464002149367,0.8270870704591791,0.5134638677553981,30.948226777716247
2020-09-19,384.4,388.72,377.0,385.25,570908.33553,0.0022348120106308045,-0.34261245721709166,0.6069933227039308,51.598258076184145,1.409339236994669,0.5366858207776357,29.559670851826585
2020-09-20,385.25,385.45,365.0,371.04,693164.40144,-0.03758260069300423,0.194038539023353,0.7595460277369199,47.85642018192327,0.8214708821150687,0.4512970771117848,28.902337519753743
2020-09-21,371.04,376.8,331.0,340.36,1283946.03098,-0.08630599252586446,0.6164262488493897,1.4752686573439477,40.951404211545594,-1.5219385374005094,0.17302684554639305,30.12074635283515
2020-09-22,340.31,346.91,335.34,344.21,842731.12878,0.011248055250290712,-0.4210454899855893,0.9313298740874325,42.080776856518895,-2.6357489542690535,0.19105965339829598,28.784046035484174
2020-09-23,344.18,344.65,313.29,320.72,940904.49756,-0.07068346789739621,0.11019368262902951,1.0466198668772837,37.38284213982466,-4.659250278783979,-0.037089672692671126,28.969543585029975
2020-09-24,320.72,353.1,316.67,348.97,1071705.09721,0.08441749028802636,0.1301645638358,1.1736170972883653,45.29301744955854,-3.8343076576808865,0.34427138626579135,29.50646721303295
2020-09-25,348.97,358.0,337.58,351.92,860643.77924,0.00841791841818651,-0.21932551818619928,0.9705121356848923,46.05931504251277,-2.8731081421794933,0.3662884682305656,28.852874168324345
2020-09-26,351.93,356.4,345.88,353.92,530879.20755,0.0056670218534513594,-0.4831461754217905,0.5932555096528537,46.6053806916616,-1.930971497914154,0.3928660668762327,27.534844951492772
2020-09-27,353.95,362.14,347.24,357.49,569568.55041,0.010036490820950483,0.0703446308171074,0.6405842571675575,47.62462535682863,-0.945576644896911,0.4391094690903496,26.626894437245657
2020-09-28,357.58,368.2,351.7,353.96,757758.4304,-0.009923477315716411,0.2854854963372855,0.8695049321762235,46.675847934356554,-0.4356746638289284,0.37342733547886187,25.899481776605956
2020-09-29,353.91,360.63,350.45,359.79,585143.16892,0.016336615512590136,-0.25850809095898875,0.7348155829945175,48.50063898537909,0.3477940165285007,0.45060071792820305,24.77080760455581
2020-09-30,359.78,361.5,351.56,359.83,498943.23226,0.0001111697841666981,-0.15936422421214758,0.6569237541983072,48.51365737743993,0.8913613148684405,0.45704743701489725,23.706337523684866
2020-10-01,359.83,370.45,345.51,352.85,758349.31959,-0.01958866024906669,0.4186517969987609,1.0889919339025478,46.31355089476106,0.8060367859001367,0.36968660255694097,23.79485212416064
2020-10-02,352.83,354.55,334.24,345.6,733571.84211,-0.020761000516938743,-0.03321858623237617,1.125779713352053,44.07758711705835,0.3119400059246491,0.284581364747464,23.54489611611157
2020-10-03,345.6,351.0,343.7,345.95,303595.71901,0.0010122190149193244,-0.8822285923759079,0.47926648382155895,44.217600193741504,0.07183733855666397,0.307846467826968,22.380054643580234
2020-10-04,345.94,354.45,343.81,352.37,343932.91712,0.018387503959909957,0.1247496853202179,0.572277235300509,46.8464549919302,0.3907293264091338,0.42174952936695337,21.538465861815293
2020-10-05,352.34,356.1,348.54,353.62,376740.30692,0.003541130345213084,0.09110947904228972,0.6623931142797167,47.36655975464009,0.7124436165718109,0.44936919063493713,20.536673147870427
2020-10-06,353.63,355.1,336.8,340.75,640063.26951,-0.037073819673301145,0.5300109210499127,1.2444718840873144,42.73049265141763,0.11633286022733458,0.26954035817668986,20.376416000200173
2020-10-07,340.8,342.85,332.18,341.58,541928.86376,0.0024328416144028253,-0.16643228492626427,1.0378380302589731,43.11716519120988,-0.14976689498610884,0.29775587267583903,19.68110720243912
2020-10-08,341.58,353.32,334.21,350.95,631794.8756,0.02706185098538505,0.15343003238989894,1.1958751204126257,47.43221436174369,0.35027143886235823,0.48786980291665977,19.64020494469407
2020-10-09,350.94,368.33,347.32,365.02,650478.19338,0.039308383425444404,0.029142996990779935,1.2748661440228881,53.17616486775135,1.6034421291203174,0.8489867469331802,19.738289910313924
2020-10-10,365.01,378.4,364.71,370.52,591005.32129,0.014955277783951892,-0.09588275329096518,1.1858955872923616,55.235277839811005,2.7123963635550865,0.9845950010111659,19.30527526614433
2020-10-11,370.51,377.6,368.87,374.16,373318.23779,0.009776089031804602,-0.45939378092788985,0.6920727212117013,56.59568672436747,3.54794234931303,0.9881171859084414,18.548284988867834
2020-10-12,374.17,394.8,365.58,386.51,844422.65444,0.032474227496355645,0.8162219043401819,1.553337037366479,60.93365709479947,4.71608601391341,1.1038684033177704,19.31206200353354
2020-10-13,386.51,387.75,374.51,381.04,645141.91394,-0.01425338442138191,-0.2691828304456738,1.0568643418347186,58.161033838231766,4.8834797557376515,0.9875542426456677,18.87754472640222
2020-10-14,381.05,387.41,373.13,378.69,569557.82936,-0.006186428059725024,-0.12460999238367876,0.9319356884538361,56.961857691304736,4.602828450083506,0.8868802983097787,18.548587294521006
2020-10-15,378.69,381.79,369.85,377.64,634038.09453,-0.0027765675685635927,0.10724871681830628,1.030784088584455,56.40228860937004,4.128535579810295,0.8280551424087137,18.07579613780025
2020-10-16,377.63,379.83,361.18,365.5,654029.36404,-0.03267508167448252,0.031043210951395395,1.0627311216296274,50.255260925452845,2.8405874848447903,0.5902081976209409,18.116871139524836
2020-10-17,365.5,370.46,363.36,368.32,285578.24537,0.0076858463436844104,-0.8286361937024438,0.46365336831711457,51.57548848965716,2.058410402777248,0.6321680786353449,17.328875090993385
2020-10-18,368.31,378.64,367.1,378.11,323468.47095,0.026233033043247644,0.12458559101316702,0.5652098094694488,55.946668235251906,2.074361391437179,0.7843049574004319,16.914858726850476
2020-10-19,378.12,384.32,372.5,379.3,577252.90265,0.0031422901180873097,0.5791788297288125,1.0213672120885844,56.461137516290435,2.0361676172925165,0.778871478188879,16.550510996778716
2020-10-20,379.3,380.73,365.27,368.52,617309.81677,-0.028832464454121798,0.06709055539480246,1.1713446590284506,50.68644334173306,1.1975008617615543,0.5818923637812193,16.47253204678956
2020-10-21,368.53,401.49,367.74,390.38,1221663.63784,0.05762563947773369,0.6825978143643923,2.3357271823063783,59.68990072774245,1.981356646707479,0.9074037286455943,17.707891825973906
2020-10-22,390.31,420.73,390.21,413.98,1095897.20667,0.05869703976117968,-0.10864017281694771,1.7785009992860967,66.74826176182175,3.8476139334896375,1.133199298366642,18.62390646640541
2020-10-23,413.94,419.33,401.3,409.11,727832.3224,-0.011833594941792036,-0.40925797828090893,1.0669347119114059,64.24818963961563,4.468808841868392,0.9874597497258025,18.581447385991954
2020-10-24,409.19,416.66,407.0,412.14,419236.87106,0.007379028915992514,-0.5516346103820169,0.6052086043047692,65.12346412656647,4.771032933619152,0.9566901793152356,17.94368242645553
2020-10-25,412.14,417.4,402.5,405.86,415586.9761,-0.015354824905021935,-0.008744163762026247,0.5838464024312536,61.74919859436664,4.252472611428992,0.8396995424804455,17.72611222085351
2020-10-26,405.85,411.11,382.3,392.52,895142.67266,-0.03342078121053049,0.767291195213776,1.2347331387151226,55.20574662794605,2.786399356965756,0.6588623462127773,18.518374100454658
2020-10-27,392.52,410.25,389.9,403.45,754261.74114,0.02746507295622269,-0.17124367180322864,0.9790757962365829,59.03599566752298,2.3458012685893515,0.7870349457742151,18.64928977452135
2020-10-28,403.41,409.2,380.52,388.23,855275.46882,-0.038454616792827245,0.12568415824008916,1.0827012951673536,52.32628509373214,0.8968695629775052,0.5445225655124635,19.36620258522709
2020-10-29,388.22,393.72,380.52,387.13,573096.01416,-0.002837393566833768,-0.4003703361439399,0.7769689839682964,51.8674626916818,-0.20904945904151973,0.509645481443949,18.92551209730077
2020-10-30,387.12,391.97,373.29,382.49,771750.74746,-0.012058044800868473,0.2976083652513566,1.164170739920101,49.88060658245825,-1.267438737576775,0.41941067867597825,18.907966370764235
2020-10-31,382.59,394.88,379.9,386.46,467453.8105,0.01032586065286889,-0.5013610891298015,0.6985336984299937,51.58932218784221,-1.6881959440848906,0.4768910362119382,18.627261441716747
2020-11-01,386.44,398.29,384.61,396.67,438952.95565,0.026076330976647633,-0.06290829797369213,0.6492608366289291,55.766080288689004,-1.2851709705331773,0.6468482823085396,18.273726687439662
2020-11-02,396.68,404.5,377.92,383.02,779968.57957,-0.0350174936250891,0.5748613914653227,1.1479933770860518,49.604263783171305,-1.9067028149978942,0.4060012070985603,18.867279704915227
2020-11-03,383.01,390.0,370.23,387.88,752954.37114,0.012608806297932595,-0.03524900640144857,1.135736683936992,51.652594672991796,-1.9522145790451146,0.4830250235052668,18.931784730431644
2020-11-04,387.88,408.39,376.47,402.49,1157064.35076,0.036974238393140624,0.4296367144131583,1.745777420980424,57.27459811178664,-1.007630600033778,0.7196691669578242,19.859848446540994
2020-11-05,402.5,420.4,396.14,416.69,1475139.77342,0.03467228823080948,0.24286668164358183,2.0897541267034767,61.91061212821485,0.48414090814877664,0.9271262187256425,20.174250070649883
2020-11-06,416.73,458.27,414.76,455.91,1682440.96026,0.08995288155332748,0.131492944493802,2.015490867071261,71.20433348626699,3.8362923249940106,1.2874225983246235,21.841606836654975
