date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2020-08-22,11531.23,11686.0,11376.81,11662.96,43678.701646,0.01134946196532205,-0.38900284052877865,0.6905912015133899,55.70695206465576,-123.88944147904454,0.4549741062670984,460.95631524630164
2020-08-23,11663.51,11718.07,11514.13,11648.13,37900.00469,-0.0012723559473784007,-0.14190937093819045,0.616720500425491,55.38581807600884,-125.87483409178367,0.40792015716296137,440.99108384168073
2020-08-24,11648.12,11824.9,11585.09,11748.2,46212.391867,0.00855438525945651,0.1982967485169045,0.7580942010474037,57.17962134752807,-118.3733362287611,0.4889464710653988,425.46027958106936
2020-08-25,11748.19,11767.85,11117.64,11318.42,69590.923272,-0.03726855030411791,0.4093861617252905,1.2548961582211149,48.213623414991524,-138.86287251681415,-0.011642753865108532,442.711009440787
2020-08-26,11318.42,11539.32,11244.0,11461.43,53998.231231,0.01255599829022458,-0.2536828550309327,0.989870172333255,50.968711893475266,-138.95193515108804,0.19510231230033637,431.45791191702796
2020-08-27,11461.42,11592.2,11125.0,11330.38,63246.036383,-0.011499871598154243,0.15808116871628108,1.2232808987524528,48.426240462068534,-143.4228766901404,0.08552393928443355,434.1734100421831
2020-08-28,11330.38,11542.65,11276.89,11526.91,45953.908365,0.01719668807894692,-0.31939355766837174,0.8485859052595617,52.271344838985755,-129.17364083141644,0.3173084609776891,421.4361408613639
2020-08-29,11526.9,11580.02,11417.04,11465.84,32973.7992,-0.0053121217435307955,-0.33192561962018985,0.6401255421949392,50.99894306145782,-120.0829462821647,0.26803463810548356,401.97065449927214
2020-08-30,11465.84,11719.0,11458.0,11711.16,43177.879054,0.021170053246224896,0.26961502269387516,0.863865376293828,55.667401535146375,-94.8752873761164,0.5392685756165043,391.3946222154982
2020-08-31,11711.17,11800.77,11570.0,11649.51,55353.617744,-0.0052781142940627745,0.24841371307930693,1.091009056439377,54.2681434501843,-80.26112287312975,0.45668678832169857,379.38725044706655
2020-09-01,11649.51,12050.85,11515.0,11921.97,78148.193668,0.0231187973969309,0.34486492469989116,1.5016353883295208,59.154603438322994,-51.54780309159577,0.7403140478014505,391.04473563489483
2020-09-02,11921.97,11954.57,11160.1,11388.54,87221.845602,-0.04577532981158505,0.10984787955088393,1.6375223057078157,48.27818685265154,-66.81513482068056,0.18268670525974612,421.01029235029176
2020-09-03,11388.54,11462.6,9960.8,10140.85,121950.106015,-0.11603576554688999,0.33515717149523105,2.1021982477519066,32.996312243973186,-154.27846746333773,-0.3943615040480548,501.06093026447655
2020-09-04,10138.29,10627.05,9875.5,10446.25,92733.599113,0.02967124125373033,-0.27388113711213613,1.396652399213996,38.156513804124316,-182.941675052976,-0.0715957594984038,519.5650366327203
2020-09-05,10446.25,10565.68,9825.0,10166.69,90001.605568,-0.02712637230891879,-0.02990334706552389,1.2315513737931514,35.46406671565329,-210.16135024559023,-0.07928078233495563,535.8594089263627
2020-09-06,10166.69,10347.14,9994.86,10256.2,56368.788815,0.008765710743618982,-0.4679118942931879,0.6939687823428962,36.99699198284592,-211.01716153197702,0.026699854508071146,522.3616506321188
2020-09-07,10255.89,10410.75,9875.0,10373.44,62620.230676,0.011366292597354999,0.10517278411229114,0.7534520008984973,39.03946848451754,-193.05313601988686,0.12464383839568954,523.3439752046236
2020-09-08,10373.45,10438.0,9850.0,10126.65,73491.878418,-0.024078130687019694,0.16008650276449465,0.8733521201471293,36.366844652017235,-187.02644231674736,0.08186287100511719,528.0786913169485
2020-09-09,10126.66,10343.0,9981.01,10219.2,49347.113776,0.009097741146643301,-0.3982956230121619,0.5910966077168358,38.07885531501125,-166.71560903598225,0.15813580948158806,515.9379932068107
2020-09-10,10219.29,10483.35,10070.83,10336.87,58253.75375,0.011448811499434441,0.16592925304257555,0.746141511195806,40.27886734656505,-136.53340292917713,0.2319420295748097,508.390974568547
2020-09-11,10336.86,10397.6,10200.0,10387.89,43830.254467,0.004923589278497786,-0.2844842122434308,0.6354618836104422,41.25347020654336,-105.68847274343426,0.2749843579646509,485.7457700033811
2020-09-12,10387.89,10477.97,10269.25,10440.92,35379.153096,0.005091996574169144,-0.21420156910677335,0.5707450910391436,42.307337875033504,-75.6759432410434,0.3155760097435853,465.5897192031985
2020-09-13,10440.67,10580.11,10200.0,10332.83,43837.609865,-0.010406496224026895,0.21436937057138827,0.8090440561257619,40.70448130574487,-57.868273962553786,0.29587348889569526,459.3785830153056
2020-09-14,10332.84,10750.0,10212.34,10671.77,67059.291361,0.03227573226362601,0.4250850520931735,1.279897063869962,47.43018050642096,-19.98357831600663,0.44162385511730795,465.059667624718
2020-09-15,10671.77,10930.04,10606.48,10785.31,61822.452786,0.010583085836547212,-0.0813105615734262,1.1658358607978627,49.496730016372815,14.160075346862413,0.500555924991333,454.80240571486314
2020-09-16,10785.23,11093.0,10661.22,10954.01,64991.51244,0.015520576216204063,0.049990071352926435,1.2653771768896325,52.48546034516742,47.65695828584688,0.5792171974824067,453.13528844506544
2020-09-17,10954.01,11045.46,10745.83,10939.99,55601.614529,-0.0012807163530030863,-0.15604444439715337,1.037415367000811,52.20893833307326,67.22311252978722,0.5892812394686088,442.030467844342
2020-09-18,10940.0,11038.03,10812.84,10933.39,47266.728275,-0.0006034732812487675,-0.16240561027692202,0.8881816293216822,52.06986056336382,77.3523777679668,0.602082259883194,426.3581875159967
